season,sigma,brier_model,brier_base,wins_cover80
2015,0.047804169391561506,0.24506965066666667,0.2222222222222222,0.8333333333333334
2016,0.04920790009836208,0.1836391586666667,0.2222222222222222,0.9
2017,0.04730835835784877,0.16782593133333332,0.2222222222222222,0.8
2018,0.045691812568480705,0.13689386866666667,0.2222222222222222,0.7
2019,0.04696397007480175,0.16327170133333338,0.2222222222222222,0.7333333333333333
2020,0.04912976590288534,0.20305081666666666,0.24888888888888888,0.8
2021,0.049103295843017813,0.19784961466666667,0.22222222222222218,0.7
2022,0.055538758278998214,0.19024578599999994,0.24000000000000007,0.7666666666666667
2023,0.05901842939506874,0.20499902733333333,0.24000000000000007,0.8
2024,0.05849374846918948,0.2231013533333333,0.24000000000000005,0.9
2025,0.05758363816818748,0.21600966200000002,0.24000000000000007,0.9333333333333333
