season,model,n,rmse_w,mae,bias,corr
2015,league_avg,255,0.04007521051841866,0.029928123505155026,-0.015594885461676028,1.1060420453768272e-15
2015,last_year,255,0.04284531544244485,0.03292526790496042,-0.0036076025195576574,0.39248235148919774
2015,marcel,255,0.03032557121448563,0.02455383201668997,0.0034771529349045993,0.5438971341618478
2016,league_avg,258,0.038814789446621395,0.029039842016961123,-0.019270469637017694,
2016,last_year,258,0.038511542139068274,0.030275873470727604,-0.005284216374836906,0.4231780687083299
2016,marcel,258,0.029430610264627885,0.02360795131528263,-0.006657770447652563,0.5221990790838917
2017,league_avg,278,0.0393995726884047,0.028708859495045765,-0.01778219004378237,
2017,last_year,278,0.052203016967105886,0.037590929570416175,-0.006463357829565706,0.23460882943339773
2017,marcel,278,0.03306294423070575,0.02576790953123565,-0.009029890750725323,0.4452042479058326
2018,league_avg,264,0.036083015577200915,0.027577806972139015,-0.008328391797176487,1.0016599370324212e-15
2018,last_year,264,0.045147706270448625,0.033561941949116915,0.008128573126769359,0.4259543445063104
2018,marcel,264,0.028179011611254582,0.022874657271515914,0.002655545777572766,0.580688936526994
2019,league_avg,255,0.041561664228922685,0.03129908600131669,-0.020081890167902613,
2019,last_year,255,0.04320171636226744,0.03373580385534899,-0.007970336161739032,0.41844082104474345
2019,marcel,255,0.030310365087831557,0.024598700419250004,-0.0007417322432998293,0.5478750534974184
2021,league_avg,255,0.03813333324280962,0.029379165548073356,-0.012012128402757742,1.1116960189461718e-15
2021,last_year,255,0.06177224131326566,0.04441272253979186,-0.0028561596655233526,0.23423828701492616
2021,marcel,255,0.03245840491882456,0.02568483215042492,0.003260420077154688,0.47435900706076145
2022,league_avg,256,0.03584397491597856,0.0268911033789903,-0.005199862393689203,
2022,last_year,256,0.04128452048758316,0.03358305693551007,0.01247337554922849,0.43421952455521184
2022,marcel,256,0.03267829033023716,0.026819802048083798,0.014738619702397836,0.5633482241987018
2023,league_avg,276,0.03927323576524431,0.029989900863311766,-0.0191842407376506,
2023,last_year,276,0.04377459284791289,0.03312468355309775,-0.008115894468298806,0.37102073359622023
2023,marcel,276,0.030314162982411293,0.025087545295652977,-0.0010684001160580865,0.4824171942315483
2024,league_avg,278,0.035720188576683506,0.026930106215312805,-0.0015336592757422326,7.723853083462091e-16
2024,last_year,278,0.04525492699205752,0.034235297220166626,0.004085219431122458,0.33917099489031266
2024,marcel,278,0.03075459982356276,0.024932626263097363,0.005610754254350344,0.5048495473768873
2025,league_avg,264,0.03591569176753804,0.027233832337044683,-0.01416338037299859,5.471142403230441e-16
2025,last_year,264,0.03808459762784178,0.029380294501243652,-0.0052998202564523535,0.4593250318394106
2025,marcel,264,0.02911389155764447,0.02332572462453854,-0.000630674923407065,0.4925601294481682
